"displacement","displacementOffset","displacements","durSweep","gain","mode","postDurInSec","preDurInSec","protocol","sampratein","samprateout","secondary_gain","stimDurInSec","Vm_id","trial","trialBlock","tags","rawname","datestr","idstr","fly","cell","genotype","timestamp","path"
-1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,1,4,NaN,PiezoStep_Raw_140219_F3_C4_1.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
-0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,2,4,NaN,PiezoStep_Raw_140219_F3_C4_2.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
-0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,3,4,NaN,PiezoStep_Raw_140219_F3_C4_3.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,4,4,NaN,PiezoStep_Raw_140219_F3_C4_4.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,5,4,NaN,PiezoStep_Raw_140219_F3_C4_5.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,6,4,NaN,PiezoStep_Raw_140219_F3_C4_6.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
-1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,7,4,NaN,PiezoStep_Raw_140219_F3_C4_7.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
-0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,8,4,NaN,PiezoStep_Raw_140219_F3_C4_8.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
-0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,9,4,NaN,PiezoStep_Raw_140219_F3_C4_9.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,10,4,NaN,PiezoStep_Raw_140219_F3_C4_10.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
