"cycleDurInSec","cycles","displacement","displacementOffset","displacements","durSweep","gain","mode","postDurInSec","preDurInSec","protocol","sampratein","samprateout","secondary_gain","stimDurInSec","Vm_id","trial","trialBlock","tags","rawname","datestr","idstr","fly","cell","genotype","timestamp","path"
0.1,6,1,5,3,0.9,5,IClamp,0.1,0.2,PiezoSquareWave,50000,50000,5,0.6,0,1,5,NaN,PiezoSquareWave_Raw_140219_F3_C4_1.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.1,6,1,5,3,0.9,5,IClamp,0.1,0.2,PiezoSquareWave,50000,50000,5,0.6,0,2,5,NaN,PiezoSquareWave_Raw_140219_F3_C4_2.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.1,6,1,5,3,0.9,5,IClamp,0.1,0.2,PiezoSquareWave,50000,50000,5,0.6,0,3,5,NaN,PiezoSquareWave_Raw_140219_F3_C4_3.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
