"amp","amps","durSweep","freq","freqs","gain","mode","postDurInSec","preDurInSec","protocol","ramptime","sampratein","samprateout","secondary_gain","stimDurInSec","Vm_id","mode_1","mode_2","gain_1","gain_2","secondary_gain_1","secondary_gain_2","trial","trialBlock","tags","rawname","datestr","idstr","fly","cell","genotype","timestamp","path"
20,5/10/20,1.4,50,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,12,1,NaN,CurrentSine_Raw_140424_F1_C2_12.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,70.7107,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,13,1,NaN,CurrentSine_Raw_140424_F1_C2_13.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,70.7107,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,14,1,NaN,CurrentSine_Raw_140424_F1_C2_14.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,70.7107,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,15,1,NaN,CurrentSine_Raw_140424_F1_C2_15.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,100,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,16,1,NaN,CurrentSine_Raw_140424_F1_C2_16.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,100,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,17,1,NaN,CurrentSine_Raw_140424_F1_C2_17.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,100,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,18,1,NaN,CurrentSine_Raw_140424_F1_C2_18.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,141.4214,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,19,1,NaN,CurrentSine_Raw_140424_F1_C2_19.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,141.4214,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,20,1,NaN,CurrentSine_Raw_140424_F1_C2_20.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,141.4214,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,21,1,NaN,CurrentSine_Raw_140424_F1_C2_21.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,200,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,22,1,NaN,CurrentSine_Raw_140424_F1_C2_22.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,200,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,23,1,NaN,CurrentSine_Raw_140424_F1_C2_23.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,200,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,24,1,NaN,CurrentSine_Raw_140424_F1_C2_24.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,282.8427,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,25,1,NaN,CurrentSine_Raw_140424_F1_C2_25.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,282.8427,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,26,1,NaN,CurrentSine_Raw_140424_F1_C2_26.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
