"displacement","displacementOffset","displacements","durSweep","gain","mode","postDurInSec","preDurInSec","protocol","sampratein","samprateout","secondary_gain","stimDurInSec","Vm_id","trial","trialBlock","tags","rawname","datestr","idstr","fly","cell","genotype","timestamp","path"
-1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,1,3,NaN,PiezoStep_Raw_140218_F3_C1_1.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
-0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,2,3,NaN,PiezoStep_Raw_140218_F3_C1_2.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
-0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,3,3,NaN,PiezoStep_Raw_140218_F3_C1_3.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,4,3,NaN,PiezoStep_Raw_140218_F3_C1_4.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,5,3,NaN,PiezoStep_Raw_140218_F3_C1_5.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,6,3,NaN,PiezoStep_Raw_140218_F3_C1_6.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
-1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,7,3,NaN,PiezoStep_Raw_140218_F3_C1_7.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
-0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,8,3,NaN,PiezoStep_Raw_140218_F3_C1_8.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
-0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,9,3,NaN,PiezoStep_Raw_140218_F3_C1_9.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,10,3,NaN,PiezoStep_Raw_140218_F3_C1_10.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,11,3,NaN,PiezoStep_Raw_140218_F3_C1_11.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,12,3,NaN,PiezoStep_Raw_140218_F3_C1_12.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
-1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,13,3,NaN,PiezoStep_Raw_140218_F3_C1_13.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
-0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,14,3,NaN,PiezoStep_Raw_140218_F3_C1_14.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
-0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,15,3,NaN,PiezoStep_Raw_140218_F3_C1_15.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,16,3,NaN,PiezoStep_Raw_140218_F3_C1_16.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,17,3,NaN,PiezoStep_Raw_140218_F3_C1_17.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,18,3,NaN,PiezoStep_Raw_140218_F3_C1_18.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
-1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,19,3,NaN,PiezoStep_Raw_140218_F3_C1_19.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
-0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,20,3,NaN,PiezoStep_Raw_140218_F3_C1_20.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
-0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,21,3,NaN,PiezoStep_Raw_140218_F3_C1_21.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,22,3,NaN,PiezoStep_Raw_140218_F3_C1_22.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,23,3,NaN,PiezoStep_Raw_140218_F3_C1_23.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,24,3,NaN,PiezoStep_Raw_140218_F3_C1_24.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
-1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,25,3,NaN,PiezoStep_Raw_140218_F3_C1_25.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
-0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,26,3,NaN,PiezoStep_Raw_140218_F3_C1_26.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
-0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,27,3,NaN,PiezoStep_Raw_140218_F3_C1_27.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
0.1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,28,3,NaN,PiezoStep_Raw_140218_F3_C1_28.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
0.3,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,29,3,NaN,PiezoStep_Raw_140218_F3_C1_29.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
1,5,-1/-0.3/-0.1/0.1/0.3/1,0.5,5,IClamp,0.1,0.2,PiezoStep,50000,50000,5,0.2,0,30,3,NaN,PiezoStep_Raw_140218_F3_C1_30.mat,140218,140218_F3_C1,3,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F3_C1
